INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
1.ini;com.uj.atm.common.Account;1566;OK;30;cpFromLog;2,73;1;21;11;11;6;6;5;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.Atm;866;OK;9;cpFromLog;1;1;11;11;9;9;9;0;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.CreditCard;1129;OK;43;cpFromLog;1,26;1;42;39;34;30;30;4;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.DummySample;388;OK;43;cpFromLog;1,26;1;42;39;34;30;30;4;0;0;0;4;0;0;0
10.ini;com.uj.atm.common.Account;983;OK;47;cpFromLog;6,71;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10.ini;com.uj.atm.common.Atm;1103;OK;23;cpFromLog;1,05;1;29;23;22;17;17;3;2;0;0;14;0;0;0
10.ini;com.uj.atm.common.CreditCard;1230;OK;36;cpFromLog;1,24;1;47;36;29;27;27;2;0;0;0;14;0;0;0
10.ini;com.uj.atm.common.DummySample;458;OK;36;cpFromLog;1,24;1;47;36;29;27;27;2;0;0;0;14;0;0;0
10_1.ini;com.uj.atm.common.Account;889;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.Atm;863;OK;2;cpFromLog;0,09;1;29;5;22;1;1;1;20;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.CreditCard;452;OK;0;cpFromLog;0;1;47;3;29;0;0;0;29;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.DummySample;431;OK;0;cpFromLog;0;1;47;3;29;0;0;0;29;0;0;13;0;0;0
10_11.ini;com.uj.atm.common.Account;933;OK;15;cpFromLog;2,14;1;12;10;7;5;5;2;0;0;0;19;0;0;0
10_11.ini;com.uj.atm.common.Atm;1093;OK;23;cpFromLog;1,05;1;29;22;22;18;18;1;3;0;0;19;0;0;0
10_11.ini;com.uj.atm.common.CreditCard;1171;OK;32;cpFromLog;1,1;1;47;32;29;23;23;3;3;0;0;19;0;0;0
10_11.ini;com.uj.atm.common.DummySample;436;OK;32;cpFromLog;1,1;1;47;32;29;23;23;3;3;0;0;19;0;0;0
10_12.ini;com.uj.atm.common.Account;933;OK;15;cpFromLog;2,14;1;12;10;7;5;5;2;0;0;0;19;0;0;0
10_12.ini;com.uj.atm.common.Atm;1092;OK;23;cpFromLog;1,05;1;29;22;22;18;18;1;3;0;0;19;0;0;0
10_12.ini;com.uj.atm.common.CreditCard;1173;OK;34;cpFromLog;1,17;1;47;32;29;23;23;3;3;0;0;19;0;0;0
10_12.ini;com.uj.atm.common.DummySample;436;OK;34;cpFromLog;1,17;1;47;32;29;23;23;3;3;0;0;19;0;0;0
10_13.ini;com.uj.atm.common.Account;926;OK;23;cpFromLog;3,29;1;12;10;7;3;3;4;0;0;0;16;0;0;0
10_13.ini;com.uj.atm.common.Atm;1077;OK;39;cpFromLog;1,77;1;29;22;22;8;8;11;3;0;0;16;0;0;0
10_13.ini;com.uj.atm.common.CreditCard;1128;OK;33;cpFromLog;1,14;1;47;32;29;24;24;2;3;0;0;16;0;0;0
10_13.ini;com.uj.atm.common.DummySample;423;OK;33;cpFromLog;1,14;1;47;32;29;24;24;2;3;0;0;16;0;0;0
10_14.ini;com.uj.atm.common.Account;918;OK;23;cpFromLog;3,29;1;12;10;7;3;3;4;0;0;0;16;0;0;0
10_14.ini;com.uj.atm.common.Atm;1075;OK;39;cpFromLog;1,77;1;29;22;22;8;8;11;3;0;0;16;0;0;0
10_14.ini;com.uj.atm.common.CreditCard;1146;OK;31;cpFromLog;1,07;1;47;32;29;24;24;2;3;0;0;16;0;0;0
10_14.ini;com.uj.atm.common.DummySample;426;OK;31;cpFromLog;1,07;1;47;32;29;24;24;2;3;0;0;16;0;0;0
10_15.ini;com.uj.atm.common.Account;972;OK;27;cpFromLog;3,86;1;12;10;7;3;3;4;0;0;0;17;0;0;0
10_15.ini;com.uj.atm.common.Atm;1060;OK;19;cpFromLog;0,86;1;29;19;22;16;16;1;5;0;0;17;0;0;0
10_15.ini;com.uj.atm.common.CreditCard;1189;OK;32;cpFromLog;1,1;1;47;34;29;24;24;4;1;0;0;17;0;0;0
10_15.ini;com.uj.atm.common.DummySample;446;OK;32;cpFromLog;1,1;1;47;34;29;24;24;4;1;0;0;17;0;0;0
10_16.ini;com.uj.atm.common.Account;969;OK;32;cpFromLog;4,57;1;12;10;7;4;4;3;0;0;0;25;0;0;0
10_16.ini;com.uj.atm.common.Atm;1086;OK;23;cpFromLog;1,05;1;29;22;22;18;18;1;3;0;0;25;0;0;0
10_16.ini;com.uj.atm.common.CreditCard;1181;OK;26;cpFromLog;0,9;1;47;31;29;18;18;7;4;0;0;25;0;0;0
10_16.ini;com.uj.atm.common.DummySample;455;OK;26;cpFromLog;0,9;1;47;31;29;18;18;7;4;0;0;25;0;0;0
10_17.ini;com.uj.atm.common.Account;922;OK;19;cpFromLog;2,71;1;12;10;7;3;3;4;0;0;0;23;0;0;0
10_17.ini;com.uj.atm.common.Atm;876;OK;2;cpFromLog;0,09;1;29;5;22;1;1;1;20;0;0;23;0;0;0
10_17.ini;com.uj.atm.common.CreditCard;862;OK;4;cpFromLog;0,14;1;47;9;29;4;4;0;25;0;0;23;0;0;0
