INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
10_17.ini;com.uj.atm.common.DummySample;427;OK;4;cpFromLog;0,14;1;47;9;29;4;4;0;25;0;0;23;0;0;0
10_18.ini;com.uj.atm.common.Account;925;OK;12;cpFromLog;1,71;1;12;10;7;5;5;2;0;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.Atm;1042;OK;16;cpFromLog;0,73;1;29;17;22;12;12;3;7;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.CreditCard;1071;OK;20;cpFromLog;0,69;1;47;19;29;17;17;0;12;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.DummySample;445;OK;20;cpFromLog;0,69;1;47;19;29;17;17;0;12;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.Account;932;OK;19;cpFromLog;2,71;1;12;12;7;5;5;2;0;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.Atm;993;OK;12;cpFromLog;0,55;1;29;9;22;8;8;2;12;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.CreditCard;1037;OK;20;cpFromLog;0,69;1;47;19;29;15;15;1;13;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.DummySample;446;OK;20;cpFromLog;0,69;1;47;19;29;15;15;1;13;0;0;34;0;0;0
10_2.ini;com.uj.atm.common.Account;899;OK;9;cpFromLog;1,29;1;12;10;7;3;3;4;0;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.Atm;902;OK;2;cpFromLog;0,09;1;29;5;22;0;0;2;20;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.CreditCard;875;OK;4;cpFromLog;0,14;1;47;9;29;4;4;0;25;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.DummySample;450;OK;4;cpFromLog;0,14;1;47;9;29;4;4;0;25;0;0;45;0;0;0
10_20.ini;com.uj.atm.common.Account;958;OK;19;cpFromLog;2,71;1;12;10;7;5;5;2;0;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.Atm;1095;OK;24;cpFromLog;1,09;1;29;19;22;15;15;2;5;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.CreditCard;1226;OK;42;cpFromLog;1,45;1;47;35;29;28;28;1;0;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.DummySample;460;OK;42;cpFromLog;1,45;1;47;35;29;28;28;1;0;0;0;33;0;0;0
10_21.ini;com.uj.atm.common.Account;911;OK;11;cpFromLog;1,57;1;12;10;7;5;5;2;0;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.Atm;896;OK;4;cpFromLog;0,18;1;29;8;22;3;3;1;18;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.CreditCard;979;OK;18;cpFromLog;0,62;1;47;14;29;12;12;1;16;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.DummySample;430;OK;18;cpFromLog;0,62;1;47;14;29;12;12;1;16;0;0;26;0;0;0
10_22.ini;com.uj.atm.common.Account;945;OK;18;cpFromLog;2,57;1;12;10;7;5;5;2;0;0;0;22;0;0;0
10_22.ini;com.uj.atm.common.Atm;1046;OK;25;cpFromLog;1,14;1;29;17;22;12;12;4;6;0;0;22;0;0;0
10_22.ini;com.uj.atm.common.CreditCard;1189;OK;37;cpFromLog;1,28;1;47;33;29;26;26;2;1;0;0;22;0;0;0
10_22.ini;com.uj.atm.common.DummySample;452;OK;37;cpFromLog;1,28;1;47;33;29;26;26;2;1;0;0;22;0;0;0
10_23.ini;com.uj.atm.common.Account;795;OK;8;cpFromLog;1,14;1;12;11;7;5;5;2;0;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.Atm;386;OK;0;cpFromLog;0;1;29;0;22;0;0;0;22;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.CreditCard;391;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.DummySample;361;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;2;0;0;0
10_24.ini;com.uj.atm.common.Account;956;OK;24;cpFromLog;3,43;1;12;10;7;5;5;2;0;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.Atm;982;OK;10;cpFromLog;0,45;1;29;14;22;4;4;4;14;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.CreditCard;948;OK;7;cpFromLog;0,24;1;47;13;29;7;7;0;22;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.DummySample;466;OK;7;cpFromLog;0,24;1;47;13;29;7;7;0;22;0;0;43;0;0;0
10_25.ini;com.uj.atm.common.Account;1537;OK;4;cpFromLog;0,57;1;12;7;7;2;2;2;3;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.Atm;1724;OK;12;cpFromLog;0,55;1;29;11;22;10;10;2;10;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.CreditCard;2067;OK;108;cpFromLog;3,72;1;47;19;29;14;14;2;13;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.DummySample;1042;OK;108;cpFromLog;3,72;1;47;19;29;14;14;2;13;0;0;168;0;0;0
10_3.ini;com.uj.atm.common.Account;939;OK;7;cpFromLog;1;1;12;7;7;3;3;1;3;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.Atm;956;OK;9;cpFromLog;0,41;1;29;8;22;8;8;1;13;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.CreditCard;974;OK;13;cpFromLog;0,45;1;47;22;29;13;13;0;16;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.DummySample;421;OK;13;cpFromLog;0,45;1;47;22;29;13;13;0;16;0;0;9;0;0;0
10_4.ini;com.uj.atm.common.Account;1004;OK;49;cpFromLog;7;1;12;10;7;3;3;4;0;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.Atm;1101;OK;21;cpFromLog;0,95;1;29;22;22;18;18;1;3;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.CreditCard;1236;OK;35;cpFromLog;1,21;1;47;35;29;28;28;1;0;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.DummySample;468;OK;35;cpFromLog;1,21;1;47;35;29;28;28;1;0;0;0;30;0;0;0
10_5.ini;com.uj.atm.common.Account;409;OK;0;cpFromLog;0;1;12;0;7;0;0;0;7;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.Atm;414;OK;0;cpFromLog;0;1;29;0;22;0;0;0;22;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.CreditCard;424;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.DummySample;383;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;27;0;0;0
10_6.ini;com.uj.atm.common.Account;861;OK;9;cpFromLog;1,29;1;12;10;7;5;5;2;0;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.Atm;956;OK;9;cpFromLog;0,41;1;29;8;22;9;9;0;13;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.CreditCard;1021;OK;20;cpFromLog;0,69;1;47;18;29;15;15;1;13;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.DummySample;452;OK;20;cpFromLog;0,69;1;47;18;29;15;15;1;13;0;0;20;0;0;0
10_7.ini;com.uj.atm.common.Account;978;OK;26;cpFromLog;3,71;1;12;12;7;5;5;2;0;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.Atm;1105;OK;24;cpFromLog;1,09;1;29;23;22;19;19;0;3;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.CreditCard;1178;OK;34;cpFromLog;1,17;1;47;35;29;25;25;1;3;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.DummySample;457;OK;34;cpFromLog;1,17;1;47;35;29;25;25;1;3;0;0;28;0;0;0
10_8.ini;com.uj.atm.common.Account;815;OK;11;cpFromLog;1,57;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.Atm;403;OK;0;cpFromLog;0;1;29;0;22;0;0;0;22;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.CreditCard;406;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.DummySample;374;OK;0;cpFromLog;0;1;47;0;29;0;0;0;29;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.Account;924;OK;16;cpFromLog;2,29;1;12;10;7;5;5;2;0;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.Atm;1036;OK;20;cpFromLog;0,91;1;29;19;22;16;16;1;5;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.CreditCard;1133;OK;32;cpFromLog;1,1;1;47;32;29;23;23;3;3;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.DummySample;425;OK;32;cpFromLog;1,1;1;47;32;29;23;23;3;3;0;0;14;0;0;0
11.ini;com.uj.atm.common.Account;906;OK;13;cpFromLog;1,62;1;6;6;8;7;7;1;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.Atm;1019;OK;20;cpFromLog;1;1;25;25;20;20;20;0;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.CreditCard;1047;OK;32;cpFromLog;1,52;1;33;33;21;18;18;3;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.DummySample;419;OK;32;cpFromLog;1,52;1;33;33;21;18;18;3;0;0;0;0;0;0;0
11_1.ini;com.uj.atm.common.Account;792;OK;1;cpFromLog;0,12;1;6;4;8;1;1;0;7;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.Atm;811;OK;1;cpFromLog;0,05;1;25;4;20;1;1;0;19;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.CreditCard;838;OK;7;cpFromLog;0,33;1;33;14;21;7;7;0;14;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.DummySample;406;OK;7;cpFromLog;0,33;1;33;14;21;7;7;0;14;0;0;13;0;0;0
11_10.ini;com.uj.atm.common.Account;901;OK;7;cpFromLog;0,88;1;6;5;8;2;2;1;5;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.Atm;855;OK;6;cpFromLog;0,3;1;25;5;20;1;1;1;18;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.CreditCard;1089;OK;97;cpFromLog;4,62;1;33;27;21;11;11;5;5;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.DummySample;447;OK;97;cpFromLog;4,62;1;33;27;21;11;11;5;5;0;0;31;0;0;0
11_12.ini;com.uj.atm.common.Account;918;OK;13;cpFromLog;1,62;1;6;6;8;7;7;1;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.Atm;1007;OK;21;cpFromLog;1,05;1;25;25;20;20;20;0;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.CreditCard;1051;OK;39;cpFromLog;1,86;1;33;33;21;18;18;3;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.DummySample;414;OK;39;cpFromLog;1,86;1;33;33;21;18;18;3;0;0;0;0;0;0;0
11_13.ini;com.uj.atm.common.Account;927;OK;34;cpFromLog;4,25;1;6;6;8;5;5;3;0;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.Atm;979;OK;27;cpFromLog;1,35;1;25;21;20;11;11;5;4;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.CreditCard;1039;OK;46;cpFromLog;2,19;1;33;31;21;17;17;2;2;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.DummySample;414;OK;46;cpFromLog;2,19;1;33;31;21;17;17;2;2;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.Account;934;OK;34;cpFromLog;4,25;1;6;6;8;5;5;3;0;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.Atm;986;OK;27;cpFromLog;1,35;1;25;21;20;11;11;5;4;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.CreditCard;1055;OK;53;cpFromLog;2,52;1;33;31;21;17;17;2;2;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.DummySample;418;OK;53;cpFromLog;2,52;1;33;31;21;17;17;2;2;0;0;3;0;0;0
11_15.ini;com.uj.atm.common.Account;914;OK;20;cpFromLog;2,5;1;6;6;8;4;4;4;0;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.Atm;873;OK;7;cpFromLog;0,35;1;25;11;20;7;7;0;13;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.CreditCard;1021;OK;18;cpFromLog;0,86;1;33;29;21;15;15;2;4;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.DummySample;422;OK;18;cpFromLog;0,86;1;33;29;21;15;15;2;4;0;0;10;0;0;0
11_16.ini;com.uj.atm.common.Account;925;OK;14;cpFromLog;1,75;1;6;6;8;5;5;3;0;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.Atm;903;OK;12;cpFromLog;0,6;1;25;15;20;11;11;0;9;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.CreditCard;1019;OK;25;cpFromLog;1,19;1;33;27;21;15;15;1;5;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.DummySample;435;OK;25;cpFromLog;1,19;1;33;27;21;15;15;1;5;0;0;14;0;0;0
11_17.ini;com.uj.atm.common.Account;907;OK;16;cpFromLog;2;1;6;6;8;5;5;3;0;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.Atm;455;OK;0;cpFromLog;0;1;25;0;20;0;0;0;20;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.CreditCard;1023;OK;25;cpFromLog;1,19;1;33;31;21;18;18;2;1;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.DummySample;421;OK;25;cpFromLog;1,19;1;33;31;21;18;18;2;1;0;0;13;0;0;0
11_18.ini;com.uj.atm.common.Account;934;OK;17;cpFromLog;2,12;1;6;6;8;7;7;1;0;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.Atm;949;OK;12;cpFromLog;0,6;1;25;14;20;10;10;1;9;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.CreditCard;1061;OK;26;cpFromLog;1,24;1;33;31;21;19;19;1;1;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.DummySample;440;OK;26;cpFromLog;1,24;1;33;31;21;19;19;1;1;0;0;18;0;0;0
11_19.ini;com.uj.atm.common.Account;931;OK;16;cpFromLog;2;1;6;6;8;6;6;2;0;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.Atm;946;OK;17;cpFromLog;0,85;1;25;13;20;6;6;4;10;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.CreditCard;1068;OK;24;cpFromLog;1,14;1;33;31;21;18;18;1;2;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.DummySample;447;OK;24;cpFromLog;1,14;1;33;31;21;18;18;1;2;0;0;17;0;0;0
11_2.ini;com.uj.atm.common.Account;28085;OK;48;cpFromLog;6;1;6;6;8;4;4;4;0;0;0;11;0;0;0
11_2.ini;com.uj.atm.common.Atm;23052;OK;17;cpFromLog;0,85;1;25;20;20;13;13;2;5;0;0;11;0;0;0
11_2.ini;com.uj.atm.common.CreditCard;23134;OK;29;cpFromLog;1,38;1;33;33;21;21;21;0;0;0;0;11;0;0;0
11_2.ini;com.uj.atm.common.DummySample;22503;OK;29;cpFromLog;1,38;1;33;33;21;21;21;0;0;0;0;11;0;0;0
11_20.ini;com.uj.atm.common.Account;933;OK;12;cpFromLog;1,5;1;6;6;8;7;7;1;0;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.Atm;1034;OK;20;cpFromLog;1;1;25;22;20;16;16;1;3;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.CreditCard;1073;OK;33;cpFromLog;1,57;1;33;30;21;19;19;0;2;0;0;17;0;0;0
11_20.ini;com.uj.atm.common.DummySample;453;OK;33;cpFromLog;1,57;1;33;30;21;19;19;0;2;0;0;17;0;0;0
11_21.ini;com.uj.atm.common.Account;873;OK;14;cpFromLog;1,75;1;6;6;8;7;7;1;0;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.Atm;840;OK;4;cpFromLog;0,2;1;25;7;20;3;3;1;16;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.CreditCard;1010;OK;29;cpFromLog;1,38;1;33;29;21;14;14;3;4;0;0;13;0;0;0
11_21.ini;com.uj.atm.common.DummySample;423;OK;29;cpFromLog;1,38;1;33;29;21;14;14;3;4;0;0;13;0;0;0
11_22.ini;com.uj.atm.common.Account;925;OK;14;cpFromLog;1,75;1;6;6;8;7;7;1;0;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.Atm;1017;OK;46;cpFromLog;2,3;1;25;21;20;10;10;6;4;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.CreditCard;1096;OK;92;cpFromLog;4,38;1;33;30;21;18;18;1;2;0;0;11;0;0;0
11_22.ini;com.uj.atm.common.DummySample;428;OK;92;cpFromLog;4,38;1;33;30;21;18;18;1;2;0;0;11;0;0;0
11_23.ini;com.uj.atm.common.Account;795;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.Atm;389;OK;0;cpFromLog;0;1;25;0;20;0;0;0;20;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.CreditCard;388;OK;0;cpFromLog;0;1;33;0;21;0;0;0;21;0;0;3;0;0;0
11_23.ini;com.uj.atm.common.DummySample;354;OK;0;cpFromLog;0;1;33;0;21;0;0;0;21;0;0;3;0;0;0
11_24.ini;com.uj.atm.common.Account;944;OK;23;cpFromLog;2,88;1;6;6;8;7;7;1;0;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.Atm;965;OK;14;cpFromLog;0,7;1;25;17;20;13;13;0;7;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.CreditCard;1052;OK;28;cpFromLog;1,33;1;33;31;21;19;19;1;1;0;0;9;0;0;0
11_24.ini;com.uj.atm.common.DummySample;439;OK;28;cpFromLog;1,33;1;33;31;21;19;19;1;1;0;0;9;0;0;0
11_25.ini;com.uj.atm.common.Account;1537;OK;16;cpFromLog;2;1;6;6;8;4;4;4;0;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.Atm;1513;OK;16;cpFromLog;0,8;1;25;12;20;9;9;0;11;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.CreditCard;1732;OK;18;cpFromLog;0,86;1;33;24;21;11;11;1;9;0;0;58;0;0;0
11_25.ini;com.uj.atm.common.DummySample;1014;OK;18;cpFromLog;0,86;1;33;24;21;11;11;1;9;0;0;58;0;0;0
11_3.ini;com.uj.atm.common.Account;882;OK;8;cpFromLog;1;1;6;6;8;3;3;5;0;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.Atm;816;OK;3;cpFromLog;0,15;1;25;6;20;2;2;1;17;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.CreditCard;993;OK;40;cpFromLog;1,9;1;33;28;21;16;16;1;4;0;0;6;0;0;0
11_3.ini;com.uj.atm.common.DummySample;401;OK;40;cpFromLog;1,9;1;33;28;21;16;16;1;4;0;0;6;0;0;0
11_4.ini;com.uj.atm.common.Account;956;OK;40;cpFromLog;5;1;6;6;8;4;4;4;0;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.Atm;990;OK;22;cpFromLog;1,1;1;25;20;20;14;14;1;5;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.CreditCard;1094;OK;32;cpFromLog;1,52;1;33;32;21;20;20;0;1;0;0;12;0;0;0
11_4.ini;com.uj.atm.common.DummySample;447;OK;32;cpFromLog;1,52;1;33;32;21;20;20;0;1;0;0;12;0;0;0
11_5.ini;com.uj.atm.common.Account;406;OK;0;cpFromLog;0;1;6;0;8;0;0;0;8;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.Atm;416;OK;0;cpFromLog;0;1;25;0;20;0;0;0;20;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.CreditCard;411;OK;0;cpFromLog;0;1;33;0;21;0;0;0;21;0;0;27;0;0;0
11_5.ini;com.uj.atm.common.DummySample;382;OK;0;cpFromLog;0;1;33;0;21;0;0;0;21;0;0;27;0;0;0
11_6.ini;com.uj.atm.common.Account;913;OK;12;cpFromLog;1,5;1;6;6;8;6;6;2;0;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.Atm;896;OK;12;cpFromLog;0,6;1;25;14;20;9;9;2;9;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.CreditCard;969;OK;27;cpFromLog;1,29;1;33;25;21;12;12;1;8;0;0;14;0;0;0
11_6.ini;com.uj.atm.common.DummySample;424;OK;27;cpFromLog;1,29;1;33;25;21;12;12;1;8;0;0;14;0;0;0
11_7.ini;com.uj.atm.common.Account;935;OK;19;cpFromLog;2,38;1;6;6;8;6;6;2;0;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.Atm;1001;OK;21;cpFromLog;1,05;1;25;20;20;14;14;1;5;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.CreditCard;1063;OK;31;cpFromLog;1,48;1;33;30;21;18;18;1;2;0;0;33;0;0;0
11_7.ini;com.uj.atm.common.DummySample;445;OK;31;cpFromLog;1,48;1;33;30;21;18;18;1;2;0;0;33;0;0;0
11_8.ini;com.uj.atm.common.Account;895;OK;28;cpFromLog;3,5;1;6;6;8;5;5;3;0;0;0;3;0;0;0
11_8.ini;com.uj.atm.common.Atm;840;OK;7;cpFromLog;0,35;1;25;11;20;5;5;2;13;0;0;3;0;0;0
11_8.ini;com.uj.atm.common.CreditCard;986;OK;24;cpFromLog;1,14;1;33;28;21;14;14;4;3;0;0;3;0;0;0
11_8.ini;com.uj.atm.common.DummySample;410;OK;24;cpFromLog;1,14;1;33;28;21;14;14;4;3;0;0;3;0;0;0
11_9.ini;com.uj.atm.common.Account;906;OK;13;cpFromLog;1,62;1;6;6;8;7;7;1;0;0;0;0;0;0;0
