INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
16_2.ini;com.uj.atm.common.DummySample;22499;OK;26;cpFromLog;1;1;26;25;26;20;20;6;0;0;0;11;0;0;0
16_20.ini;com.uj.atm.common.Account;1210;OK;7;cpFromLog;1;1;6;6;7;4;4;3;0;0;0;15;0;0;0
16_20.ini;com.uj.atm.common.Atm;1520;OK;12;cpFromLog;1;1;15;13;12;11;11;1;0;0;0;15;0;0;0
16_20.ini;com.uj.atm.common.CreditCard;4034;OK;27;cpFromLog;1;1;26;26;27;9;9;18;0;0;0;15;0;0;0
16_20.ini;com.uj.atm.common.DummySample;412;OK;27;cpFromLog;1;1;26;26;27;9;9;18;0;0;0;15;0;0;0
16_21.ini;com.uj.atm.common.Account;1361;OK;7;cpFromLog;1;1;6;6;7;5;5;2;0;0;0;9;0;0;0
16_21.ini;com.uj.atm.common.Atm;1114;OK;11;cpFromLog;1;1;15;12;11;11;11;0;0;0;0;9;0;0;0
16_21.ini;com.uj.atm.common.CreditCard;2180;OK;24;cpFromLog;1;1;26;23;24;19;19;5;0;0;0;9;0;0;0
16_21.ini;com.uj.atm.common.DummySample;388;OK;24;cpFromLog;1;1;26;23;24;19;19;5;0;0;0;9;0;0;0
16_22.ini;com.uj.atm.common.Account;1207;OK;7;cpFromLog;1;1;6;6;7;4;4;3;0;0;0;7;0;0;0
16_22.ini;com.uj.atm.common.Atm;1551;OK;12;cpFromLog;1;1;15;13;12;6;6;6;0;0;0;7;0;0;0
16_22.ini;com.uj.atm.common.CreditCard;4403;OK;27;cpFromLog;1;1;26;26;27;9;9;18;0;0;0;7;0;0;0
16_22.ini;com.uj.atm.common.DummySample;398;OK;27;cpFromLog;1;1;26;26;27;9;9;18;0;0;0;7;0;0;0
16_23.ini;com.uj.atm.common.Account;910;OK;7;cpFromLog;1;1;6;6;7;6;6;1;0;0;0;3;0;0;0
16_23.ini;com.uj.atm.common.Atm;380;OK;7;cpFromLog;1;1;6;6;7;6;6;1;0;0;0;3;0;0;0
16_23.ini;com.uj.atm.common.CreditCard;379;OK;7;cpFromLog;1;1;6;6;7;6;6;1;0;0;0;3;0;0;0
16_23.ini;com.uj.atm.common.DummySample;361;OK;7;cpFromLog;1;1;6;6;7;6;6;1;0;0;0;3;0;0;0
16_24.ini;com.uj.atm.common.Account;1856;OK;7;cpFromLog;1;1;6;6;7;4;4;3;0;0;0;9;0;0;0
16_24.ini;com.uj.atm.common.Atm;1278;OK;13;cpFromLog;1;1;15;13;13;10;10;3;0;0;0;9;0;0;0
16_24.ini;com.uj.atm.common.CreditCard;2663;OK;26;cpFromLog;1;1;26;25;26;11;11;15;0;0;0;9;0;0;0
16_24.ini;com.uj.atm.common.DummySample;402;OK;26;cpFromLog;1;1;26;25;26;11;11;15;0;0;0;9;0;0;0
16_25.ini;com.uj.atm.common.Account;1748;OK;7;cpFromLog;1;1;6;6;7;3;3;4;0;0;0;8;0;0;0
16_25.ini;com.uj.atm.common.Atm;2440;OK;10;cpFromLog;1;1;15;10;10;5;5;5;0;0;0;8;0;0;0
16_25.ini;com.uj.atm.common.CreditCard;28619;OK;25;cpFromLog;1;1;26;22;25;17;17;8;0;0;0;8;0;0;0
16_25.ini;com.uj.atm.common.DummySample;970;OK;25;cpFromLog;1;1;26;22;25;17;17;8;0;0;0;8;0;0;0
16_3.ini;com.uj.atm.common.Account;896;OK;3;cpFromLog;1;1;6;5;3;3;3;0;0;0;0;5;0;0;0
16_3.ini;com.uj.atm.common.Atm;923;OK;5;cpFromLog;1;1;15;7;5;5;5;0;0;0;0;5;0;0;0
16_3.ini;com.uj.atm.common.CreditCard;1931;OK;21;cpFromLog;1;1;26;21;21;16;16;5;0;0;0;5;0;0;0
16_3.ini;com.uj.atm.common.DummySample;422;OK;21;cpFromLog;1;1;26;21;21;16;16;5;0;0;0;5;0;0;0
16_4.ini;com.uj.atm.common.Account;1690;OK;7;cpFromLog;1;1;6;6;7;4;4;3;0;0;0;11;0;0;0
16_4.ini;com.uj.atm.common.Atm;1466;OK;12;cpFromLog;1;1;15;13;12;9;9;3;0;0;0;11;0;0;0
16_4.ini;com.uj.atm.common.CreditCard;5428;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;11;0;0;0
16_4.ini;com.uj.atm.common.DummySample;443;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;11;0;0;0
16_5.ini;com.uj.atm.common.Account;409;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;27;0;0;0
16_5.ini;com.uj.atm.common.Atm;403;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;27;0;0;0
16_5.ini;com.uj.atm.common.CreditCard;436;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;27;0;0;0
16_5.ini;com.uj.atm.common.DummySample;416;OK;27;cpFromLog;1;1;26;26;27;16;16;11;0;0;0;27;0;0;0
16_6.ini;com.uj.atm.common.Account;1217;OK;7;cpFromLog;1;1;6;6;7;5;5;2;0;0;0;7;0;0;0
16_6.ini;com.uj.atm.common.Atm;1327;OK;12;cpFromLog;1;1;15;13;12;8;8;4;0;0;0;7;0;0;0
16_6.ini;com.uj.atm.common.CreditCard;2688;OK;26;cpFromLog;1;1;26;25;26;15;15;11;0;0;0;7;0;0;0
16_6.ini;com.uj.atm.common.DummySample;404;OK;26;cpFromLog;1;1;26;25;26;15;15;11;0;0;0;7;0;0;0
16_7.ini;com.uj.atm.common.Account;1529;OK;7;cpFromLog;1;1;6;6;7;4;4;3;0;0;0;29;0;0;0
16_7.ini;com.uj.atm.common.Atm;1343;OK;12;cpFromLog;1;1;15;13;12;11;11;1;0;0;0;29;0;0;0
16_7.ini;com.uj.atm.common.CreditCard;3620;OK;26;cpFromLog;1;1;26;25;26;14;14;12;0;0;0;29;0;0;0
16_7.ini;com.uj.atm.common.DummySample;411;OK;26;cpFromLog;1;1;26;25;26;14;14;12;0;0;0;29;0;0;0
16_8.ini;com.uj.atm.common.Account;1630;OK;7;cpFromLog;1;1;6;6;7;3;3;4;0;0;0;0;0;0;0
16_8.ini;com.uj.atm.common.Atm;1079;OK;10;cpFromLog;1;1;15;11;10;7;7;3;0;0;0;0;0;0;0
16_8.ini;com.uj.atm.common.CreditCard;1818;OK;20;cpFromLog;1;1;26;20;20;17;17;3;0;0;0;0;0;0;0
16_8.ini;com.uj.atm.common.DummySample;383;OK;20;cpFromLog;1;1;26;20;20;17;17;3;0;0;0;0;0;0;0
16_9.ini;com.uj.atm.common.Account;1338;OK;7;cpFromLog;1;1;6;6;7;6;6;1;0;0;0;0;0;0;0
16_9.ini;com.uj.atm.common.Atm;1156;OK;9;cpFromLog;1;1;15;10;9;9;9;0;0;0;0;0;0;0;0
16_9.ini;com.uj.atm.common.CreditCard;3209;OK;26;cpFromLog;1;1;26;25;26;11;11;15;0;0;0;0;0;0;0
16_9.ini;com.uj.atm.common.DummySample;396;OK;26;cpFromLog;1;1;26;25;26;11;11;15;0;0;0;0;0;0;0
17.ini;com.uj.atm.common.Account;2124;OK;11;cpFromLog;1;1;12;12;11;5;5;6;0;0;0;0;0;0;0
17.ini;com.uj.atm.common.Atm;1061;OK;8;cpFromLog;1;1;12;12;8;8;8;0;0;0;0;0;0;0;0
17.ini;com.uj.atm.common.CreditCard;3662;OK;37;cpFromLog;1;1;44;44;37;26;26;11;0;0;0;0;0;0;0
17.ini;com.uj.atm.common.DummySample;421;OK;37;cpFromLog;1;1;44;44;37;26;26;11;0;0;0;0;0;0;0
17_1.ini;com.uj.atm.common.Account;1349;OK;9;cpFromLog;1;1;12;10;9;5;5;4;0;0;0;8;0;0;0
17_1.ini;com.uj.atm.common.Atm;967;OK;4;cpFromLog;1;1;12;6;4;4;4;0;0;0;0;8;0;0;0
17_1.ini;com.uj.atm.common.CreditCard;2134;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;8;0;0;0
17_1.ini;com.uj.atm.common.DummySample;401;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;8;0;0;0
17_10.ini;com.uj.atm.common.Account;1148;OK;5;cpFromLog;1;1;12;7;5;3;3;2;0;0;0;46;0;0;0
17_10.ini;com.uj.atm.common.Atm;924;OK;2;cpFromLog;1;1;12;4;2;2;2;0;0;0;0;46;0;0;0
17_10.ini;com.uj.atm.common.CreditCard;1202;OK;11;cpFromLog;1;1;44;14;11;11;11;0;0;0;0;46;0;0;0
17_10.ini;com.uj.atm.common.DummySample;443;OK;11;cpFromLog;1;1;44;14;11;11;11;0;0;0;0;46;0;0;0
17_11.ini;com.uj.atm.common.Account;1741;OK;10;cpFromLog;1;1;12;11;10;7;7;3;0;0;0;4;0;0;0
17_11.ini;com.uj.atm.common.Atm;1283;OK;8;cpFromLog;1;1;12;12;8;7;7;1;0;0;0;4;0;0;0
17_11.ini;com.uj.atm.common.CreditCard;4413;OK;33;cpFromLog;1;1;44;39;33;20;20;13;0;0;0;4;0;0;0
17_11.ini;com.uj.atm.common.DummySample;415;OK;33;cpFromLog;1;1;44;39;33;20;20;13;0;0;0;4;0;0;0
17_12.ini;com.uj.atm.common.Account;1815;OK;10;cpFromLog;1;1;12;11;10;7;7;3;0;0;0;4;0;0;0
17_12.ini;com.uj.atm.common.Atm;1336;OK;8;cpFromLog;1;1;12;12;8;7;7;1;0;0;0;4;0;0;0
17_12.ini;com.uj.atm.common.CreditCard;4646;OK;33;cpFromLog;1;1;44;39;33;18;18;15;0;0;0;4;0;0;0
17_12.ini;com.uj.atm.common.DummySample;436;OK;33;cpFromLog;1;1;44;39;33;18;18;15;0;0;0;4;0;0;0
17_13.ini;com.uj.atm.common.Account;1991;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;6;0;0;0
17_13.ini;com.uj.atm.common.Atm;1256;OK;8;cpFromLog;1;1;12;12;8;4;4;4;0;0;0;6;0;0;0
17_13.ini;com.uj.atm.common.CreditCard;4349;OK;29;cpFromLog;1;1;44;35;29;19;19;10;0;0;0;6;0;0;0
17_13.ini;com.uj.atm.common.DummySample;453;OK;29;cpFromLog;1;1;44;35;29;19;19;10;0;0;0;6;0;0;0
17_14.ini;com.uj.atm.common.Account;1998;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;6;0;0;0
17_14.ini;com.uj.atm.common.Atm;1214;OK;8;cpFromLog;1;1;12;12;8;4;4;4;0;0;0;6;0;0;0
17_14.ini;com.uj.atm.common.CreditCard;4315;OK;29;cpFromLog;1;1;44;35;29;19;19;10;0;0;0;6;0;0;0
17_14.ini;com.uj.atm.common.DummySample;409;OK;29;cpFromLog;1;1;44;35;29;19;19;10;0;0;0;6;0;0;0
17_15.ini;com.uj.atm.common.Account;2030;OK;9;cpFromLog;1;1;12;10;9;5;5;4;0;0;0;7;0;0;0
17_15.ini;com.uj.atm.common.Atm;1257;OK;7;cpFromLog;1;1;12;11;7;7;7;0;0;0;0;7;0;0;0
17_15.ini;com.uj.atm.common.CreditCard;4964;OK;33;cpFromLog;1;1;44;39;33;26;26;7;0;0;0;7;0;0;0
17_15.ini;com.uj.atm.common.DummySample;435;OK;33;cpFromLog;1;1;44;39;33;26;26;7;0;0;0;7;0;0;0
17_16.ini;com.uj.atm.common.Account;2587;OK;9;cpFromLog;1;1;12;10;9;4;4;5;0;0;0;8;0;0;0
17_16.ini;com.uj.atm.common.Atm;1156;OK;8;cpFromLog;1;1;12;12;8;8;8;0;0;0;0;8;0;0;0
17_16.ini;com.uj.atm.common.CreditCard;4577;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;8;0;0;0
17_16.ini;com.uj.atm.common.DummySample;445;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;8;0;0;0
17_18.ini;com.uj.atm.common.Account;2530;OK;11;cpFromLog;1;1;12;12;11;7;7;4;0;0;0;10;0;0;0
17_18.ini;com.uj.atm.common.Atm;1471;OK;8;cpFromLog;1;1;12;12;8;7;7;1;0;0;0;10;0;0;0
17_18.ini;com.uj.atm.common.CreditCard;5234;OK;37;cpFromLog;1;1;44;43;37;24;24;13;0;0;0;10;0;0;0
17_18.ini;com.uj.atm.common.DummySample;444;OK;37;cpFromLog;1;1;44;43;37;24;24;13;0;0;0;10;0;0;0
17_19.ini;com.uj.atm.common.Account;2045;OK;9;cpFromLog;1;1;12;10;9;6;6;3;0;0;0;4;0;0;0
17_19.ini;com.uj.atm.common.Atm;1434;OK;8;cpFromLog;1;1;12;12;8;7;7;1;0;0;0;4;0;0;0
17_19.ini;com.uj.atm.common.CreditCard;5036;OK;35;cpFromLog;1;1;44;42;35;24;24;11;0;0;0;4;0;0;0
17_19.ini;com.uj.atm.common.DummySample;475;OK;35;cpFromLog;1;1;44;42;35;24;24;11;0;0;0;4;0;0;0
17_2.ini;com.uj.atm.common.Account;24629;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;9;0;0;0
17_2.ini;com.uj.atm.common.Atm;23570;OK;7;cpFromLog;1;1;12;11;7;6;6;1;0;0;0;9;0;0;0
17_2.ini;com.uj.atm.common.CreditCard;28339;OK;35;cpFromLog;1;1;44;41;35;25;25;10;0;0;0;9;0;0;0
17_2.ini;com.uj.atm.common.DummySample;22546;OK;35;cpFromLog;1;1;44;41;35;25;25;10;0;0;0;9;0;0;0
17_20.ini;com.uj.atm.common.Account;1835;OK;11;cpFromLog;1;1;12;12;11;8;8;3;0;0;0;17;0;0;0
17_20.ini;com.uj.atm.common.Atm;1301;OK;7;cpFromLog;1;1;12;11;7;6;6;1;0;0;0;17;0;0;0
17_20.ini;com.uj.atm.common.CreditCard;5569;OK;37;cpFromLog;1;1;44;43;37;23;23;14;0;0;0;17;0;0;0
17_20.ini;com.uj.atm.common.DummySample;439;OK;37;cpFromLog;1;1;44;43;37;23;23;14;0;0;0;17;0;0;0
17_21.ini;com.uj.atm.common.Account;2247;OK;10;cpFromLog;1;1;12;11;10;6;6;4;0;0;0;6;0;0;0
17_21.ini;com.uj.atm.common.Atm;1114;OK;7;cpFromLog;1;1;12;11;7;7;7;0;0;0;0;6;0;0;0
17_21.ini;com.uj.atm.common.CreditCard;2903;OK;27;cpFromLog;1;1;44;33;27;16;16;11;0;0;0;6;0;0;0
17_21.ini;com.uj.atm.common.DummySample;417;OK;27;cpFromLog;1;1;44;33;27;16;16;11;0;0;0;6;0;0;0
17_22.ini;com.uj.atm.common.Account;1753;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;8;0;0;0
17_22.ini;com.uj.atm.common.Atm;1434;OK;8;cpFromLog;1;1;12;12;8;5;5;3;0;0;0;8;0;0;0
17_22.ini;com.uj.atm.common.CreditCard;5998;OK;32;cpFromLog;1;1;44;37;32;19;19;13;0;0;0;8;0;0;0
17_22.ini;com.uj.atm.common.DummySample;424;OK;32;cpFromLog;1;1;44;37;32;19;19;13;0;0;0;8;0;0;0
17_23.ini;com.uj.atm.common.Account;1225;OK;9;cpFromLog;1;1;12;10;9;6;6;3;0;0;0;2;0;0;0
17_23.ini;com.uj.atm.common.Atm;427;OK;9;cpFromLog;1;1;12;10;9;6;6;3;0;0;0;2;0;0;0
17_23.ini;com.uj.atm.common.CreditCard;1957;OK;33;cpFromLog;1;1;44;40;33;28;28;5;0;0;0;2;0;0;0
17_23.ini;com.uj.atm.common.DummySample;404;OK;33;cpFromLog;1;1;44;40;33;28;28;5;0;0;0;2;0;0;0
17_24.ini;com.uj.atm.common.Account;3424;OK;11;cpFromLog;1;1;12;12;11;4;4;7;0;0;0;9;0;0;0
17_24.ini;com.uj.atm.common.Atm;1246;OK;8;cpFromLog;1;1;12;12;8;8;8;0;0;0;0;9;0;0;0
17_24.ini;com.uj.atm.common.CreditCard;4507;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;9;0;0;0
17_24.ini;com.uj.atm.common.DummySample;453;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;9;0;0;0
17_25.ini;com.uj.atm.common.Account;2237;OK;10;cpFromLog;1;1;12;11;10;4;4;6;0;0;0;12;0;0;0
17_25.ini;com.uj.atm.common.Atm;2526;OK;6;cpFromLog;1;1;12;9;6;5;5;1;0;0;0;12;0;0;0
17_25.ini;com.uj.atm.common.CreditCard;38107;OK;35;cpFromLog;1;1;44;39;35;17;17;18;0;0;0;12;0;0;0
17_25.ini;com.uj.atm.common.DummySample;1007;OK;35;cpFromLog;1;1;44;39;35;17;17;18;0;0;0;12;0;0;0
17_3.ini;com.uj.atm.common.Account;1630;OK;10;cpFromLog;1;1;12;11;10;0;0;10;0;0;0;3;0;0;0
17_3.ini;com.uj.atm.common.Atm;1016;OK;5;cpFromLog;1;1;12;7;5;4;4;1;0;0;0;3;0;0;0
17_3.ini;com.uj.atm.common.CreditCard;3395;OK;33;cpFromLog;1;1;44;39;33;28;28;5;0;0;0;3;0;0;0
17_3.ini;com.uj.atm.common.DummySample;415;OK;33;cpFromLog;1;1;44;39;33;28;28;5;0;0;0;3;0;0;0
17_4.ini;com.uj.atm.common.Account;2497;OK;9;cpFromLog;1;1;12;10;9;5;5;4;0;0;0;16;0;0;0
17_4.ini;com.uj.atm.common.Atm;1316;OK;8;cpFromLog;1;1;12;12;8;6;6;2;0;0;0;16;0;0;0
17_4.ini;com.uj.atm.common.CreditCard;7050;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;16;0;0;0
17_4.ini;com.uj.atm.common.DummySample;466;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;16;0;0;0
17_5.ini;com.uj.atm.common.Account;413;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;27;0;0;0
17_5.ini;com.uj.atm.common.Atm;406;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;27;0;0;0
17_5.ini;com.uj.atm.common.CreditCard;401;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;27;0;0;0
17_5.ini;com.uj.atm.common.DummySample;380;OK;31;cpFromLog;1;1;44;37;31;17;17;14;0;0;0;27;0;0;0
17_6.ini;com.uj.atm.common.Account;1704;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;9;0;0;0
17_6.ini;com.uj.atm.common.Atm;1145;OK;8;cpFromLog;1;1;12;12;8;8;8;0;0;0;0;9;0;0;0
17_6.ini;com.uj.atm.common.CreditCard;3226;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;9;0;0;0
17_6.ini;com.uj.atm.common.DummySample;422;OK;33;cpFromLog;1;1;44;39;33;25;25;8;0;0;0;9;0;0;0
17_7.ini;com.uj.atm.common.Account;2101;OK;10;cpFromLog;1;1;12;11;10;6;6;4;0;0;0;26;0;0;0
17_7.ini;com.uj.atm.common.Atm;1290;OK;8;cpFromLog;1;1;12;12;8;7;7;1;0;0;0;26;0;0;0
17_7.ini;com.uj.atm.common.CreditCard;5534;OK;35;cpFromLog;1;1;44;42;35;26;26;9;0;0;0;26;0;0;0
17_7.ini;com.uj.atm.common.DummySample;457;OK;35;cpFromLog;1;1;44;42;35;26;26;9;0;0;0;26;0;0;0
17_8.ini;com.uj.atm.common.Account;2388;OK;10;cpFromLog;1;1;12;11;10;5;5;5;0;0;0;0;0;0;0
17_8.ini;com.uj.atm.common.Atm;1058;OK;7;cpFromLog;1;1;12;11;7;4;4;3;0;0;0;0;0;0;0
17_8.ini;com.uj.atm.common.CreditCard;2674;OK;28;cpFromLog;1;1;44;32;28;23;23;5;0;0;0;0;0;0;0
17_8.ini;com.uj.atm.common.DummySample;401;OK;28;cpFromLog;1;1;44;32;28;23;23;5;0;0;0;0;0;0;0
17_9.ini;com.uj.atm.common.Account;1791;OK;10;cpFromLog;1;1;12;11;10;7;7;3;0;0;0;0;0;0;0
17_9.ini;com.uj.atm.common.Atm;1152;OK;6;cpFromLog;1;1;12;10;6;6;6;0;0;0;0;0;0;0;0
17_9.ini;com.uj.atm.common.CreditCard;4497;OK;33;cpFromLog;1;1;44;39;33;18;18;15;0;0;0;0;0;0;0
17_9.ini;com.uj.atm.common.DummySample;428;OK;33;cpFromLog;1;1;44;39;33;18;18;15;0;0;0;0;0;0;0
18.ini;com.uj.atm.common.Account;3144;OK;11;cpFromLog;1;1;10;10;11;7;7;4;0;0;0;0;0;0;0
18.ini;com.uj.atm.common.Atm;2949;OK;23;cpFromLog;1;1;18;18;23;13;13;10;0;0;0;0;0;0;0
18.ini;com.uj.atm.common.CreditCard;4363;OK;24;cpFromLog;1;1;26;26;24;14;14;10;0;0;0;0;0;0;0
18.ini;com.uj.atm.common.DummySample;410;OK;24;cpFromLog;1;1;26;26;24;14;14;10;0;0;0;0;0;0;0
18_1.ini;com.uj.atm.common.Account;1773;OK;11;cpFromLog;1;1;10;10;11;6;6;5;0;0;0;4;0;0;0
18_1.ini;com.uj.atm.common.Atm;1585;OK;20;cpFromLog;1;1;18;15;20;18;18;2;0;0;0;4;0;0;0
18_1.ini;com.uj.atm.common.CreditCard;2121;OK;24;cpFromLog;1;1;26;26;24;21;21;3;0;0;0;4;0;0;0
18_1.ini;com.uj.atm.common.DummySample;394;OK;24;cpFromLog;1;1;26;26;24;21;21;3;0;0;0;4;0;0;0
18_10.ini;com.uj.atm.common.Account;1406;OK;5;cpFromLog;1;1;10;7;5;3;3;2;0;0;0;29;0;0;0
18_10.ini;com.uj.atm.common.Atm;1209;OK;7;cpFromLog;1;1;18;6;7;5;5;2;0;0;0;29;0;0;0
18_10.ini;com.uj.atm.common.CreditCard;2718;OK;22;cpFromLog;1;1;26;22;22;11;11;11;0;0;0;29;0;0;0
18_10.ini;com.uj.atm.common.DummySample;438;OK;22;cpFromLog;1;1;26;22;22;11;11;11;0;0;0;29;0;0;0
18_11.ini;com.uj.atm.common.Account;2060;OK;11;cpFromLog;1;1;10;10;11;8;8;3;0;0;0;4;0;0;0
18_11.ini;com.uj.atm.common.Atm;2082;OK;20;cpFromLog;1;1;18;15;20;16;16;4;0;0;0;4;0;0;0
18_11.ini;com.uj.atm.common.CreditCard;3161;OK;24;cpFromLog;1;1;26;26;24;15;15;9;0;0;0;4;0;0;0
18_11.ini;com.uj.atm.common.DummySample;380;OK;24;cpFromLog;1;1;26;26;24;15;15;9;0;0;0;4;0;0;0
18_12.ini;com.uj.atm.common.Account;1998;OK;11;cpFromLog;1;1;10;10;11;7;7;4;0;0;0;4;0;0;0
18_12.ini;com.uj.atm.common.Atm;2154;OK;20;cpFromLog;1;1;18;15;20;13;13;7;0;0;0;4;0;0;0
18_12.ini;com.uj.atm.common.CreditCard;3438;OK;24;cpFromLog;1;1;26;26;24;12;12;12;0;0;0;4;0;0;0
18_12.ini;com.uj.atm.common.DummySample;405;OK;24;cpFromLog;1;1;26;26;24;12;12;12;0;0;0;4;0;0;0
18_13.ini;com.uj.atm.common.Account;2520;OK;11;cpFromLog;1;1;10;10;11;5;5;6;0;0;0;6;0;0;0
18_13.ini;com.uj.atm.common.Atm;1987;OK;20;cpFromLog;1;1;18;15;20;11;11;9;0;0;0;6;0;0;0
18_13.ini;com.uj.atm.common.CreditCard;3326;OK;23;cpFromLog;1;1;26;25;23;15;15;8;0;0;0;6;0;0;0
18_13.ini;com.uj.atm.common.DummySample;392;OK;23;cpFromLog;1;1;26;25;23;15;15;8;0;0;0;6;0;0;0
18_14.ini;com.uj.atm.common.Account;2463;OK;11;cpFromLog;1;1;10;10;11;5;5;6;0;0;0;6;0;0;0
18_14.ini;com.uj.atm.common.Atm;1997;OK;20;cpFromLog;1;1;18;15;20;11;11;9;0;0;0;6;0;0;0
18_14.ini;com.uj.atm.common.CreditCard;3426;OK;23;cpFromLog;1;1;26;25;23;16;16;7;0;0;0;6;0;0;0
18_14.ini;com.uj.atm.common.DummySample;400;OK;23;cpFromLog;1;1;26;25;23;16;16;7;0;0;0;6;0;0;0
18_15.ini;com.uj.atm.common.Account;2525;OK;11;cpFromLog;1;1;10;10;11;6;6;5;0;0;0;4;0;0;0
18_15.ini;com.uj.atm.common.Atm;2092;OK;18;cpFromLog;1;1;18;13;18;16;16;2;0;0;0;4;0;0;0
18_15.ini;com.uj.atm.common.CreditCard;3804;OK;24;cpFromLog;1;1;26;26;24;16;16;8;0;0;0;4;0;0;0
18_15.ini;com.uj.atm.common.DummySample;398;OK;24;cpFromLog;1;1;26;26;24;16;16;8;0;0;0;4;0;0;0
18_16.ini;com.uj.atm.common.Account;3083;OK;11;cpFromLog;1;1;10;10;11;7;7;4;0;0;0;7;0;0;0
18_16.ini;com.uj.atm.common.Atm;2009;OK;22;cpFromLog;1;1;18;17;22;19;19;3;0;0;0;7;0;0;0
18_16.ini;com.uj.atm.common.CreditCard;3396;OK;24;cpFromLog;1;1;26;26;24;18;18;6;0;0;0;7;0;0;0
18_16.ini;com.uj.atm.common.DummySample;409;OK;24;cpFromLog;1;1;26;26;24;18;18;6;0;0;0;7;0;0;0
18_17.ini;com.uj.atm.common.Account;2245;OK;11;cpFromLog;1;1;10;10;11;5;5;6;0;0;0;5;0;0;0
18_17.ini;com.uj.atm.common.Atm;1352;OK;16;cpFromLog;1;1;18;11;16;15;15;1;0;0;0;5;0;0;0
18_17.ini;com.uj.atm.common.CreditCard;2449;OK;23;cpFromLog;1;1;26;24;23;14;14;9;0;0;0;5;0;0;0
18_17.ini;com.uj.atm.common.DummySample;399;OK;23;cpFromLog;1;1;26;24;23;14;14;9;0;0;0;5;0;0;0
18_19.ini;com.uj.atm.common.Account;2138;OK;11;cpFromLog;1;1;10;10;11;7;7;4;0;0;0;10;0;0;0
18_19.ini;com.uj.atm.common.Atm;2359;OK;20;cpFromLog;1;1;18;15;20;9;9;11;0;0;0;10;0;0;0
18_19.ini;com.uj.atm.common.CreditCard;3399;OK;24;cpFromLog;1;1;26;26;24;13;13;11;0;0;0;10;0;0;0
18_19.ini;com.uj.atm.common.DummySample;414;OK;24;cpFromLog;1;1;26;26;24;13;13;11;0;0;0;10;0;0;0
18_2.ini;com.uj.atm.common.Account;25089;OK;11;cpFromLog;1;1;10;10;11;6;6;5;0;0;0;9;0;0;0
18_2.ini;com.uj.atm.common.Atm;24890;OK;18;cpFromLog;1;1;18;13;18;9;9;9;0;0;0;9;0;0;0
18_2.ini;com.uj.atm.common.CreditCard;26528;OK;24;cpFromLog;1;1;26;26;24;15;15;9;0;0;0;9;0;0;0
18_2.ini;com.uj.atm.common.DummySample;22454;OK;24;cpFromLog;1;1;26;26;24;15;15;9;0;0;0;9;0;0;0
18_20.ini;com.uj.atm.common.Account;1945;OK;11;cpFromLog;1;1;10;10;11;9;9;2;0;0;0;8;0;0;0
18_20.ini;com.uj.atm.common.Atm;2912;OK;19;cpFromLog;1;1;18;14;19;9;9;10;0;0;0;8;0;0;0
18_20.ini;com.uj.atm.common.CreditCard;4429;OK;24;cpFromLog;1;1;26;26;24;12;12;12;0;0;0;8;0;0;0
18_20.ini;com.uj.atm.common.DummySample;399;OK;24;cpFromLog;1;1;26;26;24;12;12;12;0;0;0;8;0;0;0
18_21.ini;com.uj.atm.common.Account;2369;OK;11;cpFromLog;1;1;10;10;11;9;9;2;0;0;0;8;0;0;0
18_21.ini;com.uj.atm.common.Atm;1392;OK;19;cpFromLog;1;1;18;14;19;16;16;3;0;0;0;8;0;0;0
18_21.ini;com.uj.atm.common.CreditCard;1946;OK;21;cpFromLog;1;1;26;23;21;16;16;5;0;0;0;8;0;0;0
