INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
10_17.ini;com.uj.atm.common.DummySample;421;OK;4;cpFromLog;1;1;47;9;4;4;4;0;0;0;0;23;0;0;0
10_18.ini;com.uj.atm.common.Account;905;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.Atm;1037;OK;15;cpFromLog;1;1;29;17;15;11;11;4;0;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.CreditCard;1060;OK;17;cpFromLog;1;1;47;19;17;15;15;2;0;0;0;34;0;0;0
10_18.ini;com.uj.atm.common.DummySample;437;OK;17;cpFromLog;1;1;47;19;17;15;15;2;0;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.Account;927;OK;7;cpFromLog;1;1;12;12;7;4;4;3;0;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.Atm;977;OK;10;cpFromLog;1;1;29;9;10;8;8;2;0;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.CreditCard;1027;OK;16;cpFromLog;1;1;47;19;16;13;13;3;0;0;0;34;0;0;0
10_19.ini;com.uj.atm.common.DummySample;440;OK;16;cpFromLog;1;1;47;19;16;13;13;3;0;0;0;34;0;0;0
10_2.ini;com.uj.atm.common.Account;938;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.Atm;908;OK;2;cpFromLog;1;1;29;5;2;0;0;2;0;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.CreditCard;878;OK;4;cpFromLog;1;1;47;9;4;4;4;0;0;0;0;45;0;0;0
10_2.ini;com.uj.atm.common.DummySample;438;OK;4;cpFromLog;1;1;47;9;4;4;4;0;0;0;0;45;0;0;0
10_20.ini;com.uj.atm.common.Account;902;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.Atm;1082;OK;17;cpFromLog;1;1;29;19;17;12;12;5;0;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.CreditCard;1272;OK;29;cpFromLog;1;1;47;35;29;24;24;5;0;0;0;33;0;0;0
10_20.ini;com.uj.atm.common.DummySample;439;OK;29;cpFromLog;1;1;47;35;29;24;24;5;0;0;0;33;0;0;0
10_21.ini;com.uj.atm.common.Account;864;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.Atm;874;OK;4;cpFromLog;1;1;29;8;4;3;3;1;0;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.CreditCard;932;OK;13;cpFromLog;1;1;47;14;13;12;12;1;0;0;0;26;0;0;0
10_21.ini;com.uj.atm.common.DummySample;415;OK;13;cpFromLog;1;1;47;14;13;12;12;1;0;0;0;26;0;0;0
10_22.ini;com.uj.atm.common.Account;957;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;22;0;0;0
