INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
2_5.ini;com.uj.atm.common.Account;339;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.Atm;340;OK;0;0;1;10;0;8;0;0;0;8;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.CreditCard;345;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.DummySample;17888;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_6.ini;com.uj.atm.common.Account;373;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.Atm;374;OK;0;0;1;10;0;8;0;0;0;8;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.CreditCard;377;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.DummySample;17887;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_7.ini;com.uj.atm.common.Account;380;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_7.ini;com.uj.atm.common.Atm;374;OK;0;0;1;10;1;8;0;0;0;8;0;0;0;0;0;0
2_7.ini;com.uj.atm.common.CreditCard;388;OK;0;0;1;20;2;15;0;0;0;15;0;0;0;0;0;0
2_7.ini;com.uj.atm.common.DummySample;358;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
3.ini;com.uj.atm.common.Account;721;OK;0;0;1;10;10;11;11;0;0;0;0;0;11;0;0;0
3.ini;com.uj.atm.common.Atm;743;OK;0;0;1;29;29;19;19;0;0;0;0;0;19;0;0;0
3.ini;com.uj.atm.common.CreditCard;754;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
3.ini;com.uj.atm.common.DummySample;349;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
3_1.ini;com.uj.atm.common.Account;733;OK;0;0;1;10;8;11;9;0;0;2;0;0;9;0;0;0
3_1.ini;com.uj.atm.common.Atm;391;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
3_1.ini;com.uj.atm.common.CreditCard;736;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
3_1.ini;com.uj.atm.common.DummySample;360;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
3_2.ini;com.uj.atm.common.Account;391;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
3_2.ini;com.uj.atm.common.Atm;392;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
3_2.ini;com.uj.atm.common.CreditCard;737;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
3_2.ini;com.uj.atm.common.DummySample;368;OK;0;0;1;50;24;34;13;0;0;21;0;0;13;0;0;0
3_4.ini;com.uj.atm.common.Account;392;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
3_4.ini;com.uj.atm.common.Atm;389;OK;0;0;1;29;3;19;0;0;0;19;0;0;0;0;0;0
3_4.ini;com.uj.atm.common.CreditCard;408;OK;0;0;1;50;3;34;0;0;0;34;0;0;0;0;0;0
3_4.ini;com.uj.atm.common.DummySample;358;OK;0;0;1;50;3;34;0;0;0;34;0;0;0;0;0;0
3_5.ini;com.uj.atm.common.Account;288;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
3_5.ini;com.uj.atm.common.Atm;294;OK;0;0;1;29;0;19;0;0;0;19;0;0;0;0;0;0
3_5.ini;com.uj.atm.common.CreditCard;291;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
3_5.ini;com.uj.atm.common.DummySample;280;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
3_6.ini;com.uj.atm.common.Account;372;OK;0;0;1;10;0;11;0;0;0;11;0;0;0;0;0;0
3_6.ini;com.uj.atm.common.Atm;379;OK;0;0;1;29;0;19;0;0;0;19;0;0;0;0;0;0
3_6.ini;com.uj.atm.common.CreditCard;388;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
3_6.ini;com.uj.atm.common.DummySample;369;OK;0;0;1;50;0;34;0;0;0;34;0;0;0;0;0;0
3_7.ini;com.uj.atm.common.Account;716;OK;0;0;1;10;10;11;11;0;0;0;0;0;11;0;0;0
3_7.ini;com.uj.atm.common.Atm;730;OK;0;0;1;29;29;19;19;0;0;0;0;0;19;0;0;0
3_7.ini;com.uj.atm.common.CreditCard;757;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
3_7.ini;com.uj.atm.common.DummySample;347;OK;0;0;1;50;42;34;28;0;0;6;0;0;28;0;0;0
4.ini;com.uj.atm.common.Account;728;OK;0;0;1;13;9;9;9;0;0;0;0;0;9;0;0;0
4.ini;com.uj.atm.common.Atm;740;OK;0;0;1;29;19;22;13;0;0;9;0;0;13;0;0;0
4.ini;com.uj.atm.common.CreditCard;751;OK;0;0;1;28;24;18;15;0;0;3;0;0;15;0;0;0
4.ini;com.uj.atm.common.DummySample;17883;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
4_1.ini;com.uj.atm.common.Account;389;OK;0;0;1;13;0;9;0;0;0;9;0;0;0;0;0;0
4_1.ini;com.uj.atm.common.Atm;722;OK;0;0;1;29;14;22;10;0;0;12;0;0;10;0;0;0
4_1.ini;com.uj.atm.common.CreditCard;731;OK;0;0;1;28;13;18;12;0;0;6;0;0;12;0;0;0
4_1.ini;com.uj.atm.common.DummySample;17879;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
4_2.ini;com.uj.atm.common.Account;735;OK;0;0;1;13;9;9;9;0;0;0;0;0;9;0;0;0
4_2.ini;com.uj.atm.common.Atm;746;OK;0;0;1;29;19;22;13;0;0;9;0;0;13;0;0;0
4_2.ini;com.uj.atm.common.CreditCard;731;OK;0;0;1;28;16;18;11;0;0;7;0;0;11;0;0;0
4_2.ini;com.uj.atm.common.DummySample;17873;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
4_3.ini;com.uj.atm.common.Account;380;OK;0;0;1;13;0;9;0;0;0;9;0;0;0;0;0;0
4_3.ini;com.uj.atm.common.Atm;380;OK;0;0;1;29;1;22;0;0;0;22;0;0;0;0;0;0
4_3.ini;com.uj.atm.common.CreditCard;379;OK;0;0;1;28;3;18;0;0;0;18;0;0;0;0;0;0
4_3.ini;com.uj.atm.common.DummySample;359;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
4_5.ini;com.uj.atm.common.Account;339;OK;0;0;1;13;0;9;0;0;0;9;0;0;0;0;0;0
4_5.ini;com.uj.atm.common.Atm;339;OK;0;0;1;29;0;22;0;0;0;22;0;0;0;0;0;0
4_5.ini;com.uj.atm.common.CreditCard;344;OK;0;0;1;28;0;18;0;0;0;18;0;0;0;0;0;0
4_5.ini;com.uj.atm.common.DummySample;17849;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
4_6.ini;com.uj.atm.common.Account;367;OK;0;0;1;13;0;9;0;0;0;9;0;0;0;0;0;0
4_6.ini;com.uj.atm.common.Atm;372;OK;0;0;1;29;0;22;0;0;0;22;0;0;0;0;0;0
4_6.ini;com.uj.atm.common.CreditCard;372;OK;0;0;1;28;0;18;0;0;0;18;0;0;0;0;0;0
4_6.ini;com.uj.atm.common.DummySample;17864;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
4_7.ini;com.uj.atm.common.Account;385;OK;0;0;1;13;0;9;0;0;0;9;0;0;0;0;0;0
4_7.ini;com.uj.atm.common.Atm;381;OK;0;0;1;29;1;22;0;0;0;22;0;0;0;0;0;0
4_7.ini;com.uj.atm.common.CreditCard;396;OK;0;0;1;28;3;18;0;0;0;18;0;0;0;0;0;0
4_7.ini;com.uj.atm.common.DummySample;374;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
5.ini;com.uj.atm.common.Account;345;OK;0;0;1;7;0;5;0;0;0;5;0;0;0;0;0;0
5.ini;com.uj.atm.common.Atm;342;OK;0;0;1;13;0;10;0;0;0;10;0;0;0;0;0;0
5.ini;com.uj.atm.common.CreditCard;343;OK;0;0;1;19;0;22;0;0;0;22;0;0;0;0;0;0
