Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;1;173.0;0;114.0;0;1;0;0;0;0;0.3951048951048951;0.397212543554007;org.hamcrest.core.DescribedAs;100;0;
RETURN_VALS;0;5;176.0;0;116.0;1;1;1;0;0;0;0.397212543554007;0.3972602739726027;org.hamcrest.core.AllOf;100;2;
RETURN_VALS;0;5;177.0;0;120.0;4;0;0;0;0;0;0.3972602739726027;0.40404040404040403;org.hamcrest.core.IsInstanceOf;100;1;
NEGATE_CONDITIONALS;0;2;114.0;0;34.0;0;0;0;0;0;0;0.2328767123287671;0.22972972972972974;org.hamcrest.core.IsInstanceOf;100;2;
RETURN_VALS;0;3;180.0;0;120.0;0;0;0;0;0;0;0.40404040404040403;0.4;org.hamcrest.core.Is;100;3;
RETURN_VALS;0;1;180.0;0;121.0;0;1;0;0;0;0;0.4;0.4019933554817276;org.hamcrest.core.IsAnything;100;0;
RETURN_VALS;0;3;181.0;0;123.0;0;2;0;0;0;0;0.4019933554817276;0.40460526315789475;org.hamcrest.core.IsEqual;100;1;
NEGATE_CONDITIONALS;0;1;114.0;0;35.0;0;1;0;0;0;0;0.22972972972972974;0.2348993288590604;org.hamcrest.core.IsEqual;100;0;
RETURN_VALS;0;2;183.0;0;123.0;0;0;0;0;0;0;0.40460526315789475;0.4019607843137255;org.hamcrest.core.IsNot;100;2;
RETURN_VALS;0;2;184.0;0;124.0;1;0;0;0;0;0;0.4019607843137255;0.4025974025974026;org.hamcrest.core.IsNull;100;1;
RETURN_VALS;0;1;184.0;0;125.0;0;1;0;0;0;0;0.4025974025974026;0.4045307443365696;org.hamcrest.core.IsSame;100;0;
RETURN_VALS;0;1;185.0;0;125.0;0;0;0;0;0;0;0.4045307443365696;0.4032258064516129;org.hamcrest.TypeSafeDiagnosingMatcher;100;1;
RETURN_VALS;0;4;188.0;0;126.0;0;1;3;0;0;0;0.4032258064516129;0.4012738853503185;org.hamcrest.core.CombinableMatcher;100;0;
RETURN_VALS;0;1;189.0;0;126.0;0;0;0;0;0;0;0.4012738853503185;0.4;org.hamcrest.core.Every;100;1;
NEGATE_CONDITIONALS;0;1;115.0;0;35.0;0;0;0;0;0;0;0.2348993288590604;0.23333333333333334;org.hamcrest.core.Every;100;1;
CONDITIONALS_BOUNDARY;0;1;25.0;0;18.0;0;1;0;0;0;0;0.40476190476190477;0.4186046511627907;org.hamcrest.core.IsCollectionContaining;100;0;
RETURN_VALS;0;1;190.0;0;126.0;0;0;0;0;0;0;0.4;0.3987341772151899;org.hamcrest.core.IsCollectionContaining;100;1;
NEGATE_CONDITIONALS;0;2;117.0;0;35.0;0;0;0;0;0;0;0.23333333333333334;0.23026315789473684;org.hamcrest.TypeSafeMatcher;100;2;
NEGATE_CONDITIONALS;0;1;117.0;0;36.0;0;1;0;0;0;0;0.23026315789473684;0.23529411764705882;org.hamcrest.CustomTypeSafeMatcher;100;0;
RETURN_VALS;0;1;191.0;0;126.0;0;0;0;0;0;0;0.3987341772151899;0.39747634069400634;org.hamcrest.core.SubstringMatcher;100;1;
RETURN_VALS;0;2;193.0;0;126.0;0;0;1;0;0;0;0.39747634069400634;0.3949843260188088;org.hamcrest.core.StringContains;100;1;
RETURN_VALS;0;1;194.0;0;126.0;0;0;0;0;0;0;0.3949843260188088;0.39375;org.junit.runner.Computer;100;1;
