Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;2;42.0;0;42.0;0;0;0;0;0;0;0.5121951219512195;0.5;org.junit.runner.Computer;100;2;
RETURN_VALS;0;4;46.0;0;42.0;0;0;0;0;0;0;0.5;0.4772727272727273;org.junit.experimental.ParallelComputer;100;4;
NEGATE_CONDITIONALS;0;1;45.0;0;21.0;0;0;0;0;1;0;0.3230769230769231;0.3181818181818182;org.junit.experimental.ParallelComputer;100;0;
RETURN_VALS;0;1;46.0;0;43.0;0;1;0;0;0;0;0.4772727272727273;0.48314606741573035;org.hamcrest.Condition;100;0;
RETURN_VALS;0;24;55.0;0;58.0;2;13;2;0;0;0;0.48314606741573035;0.5132743362831859;org.hamcrest.CoreMatchers;100;7;
RETURN_VALS;0;17;55.0;0;75.0;0;17;0;0;0;0;0.5132743362831859;0.5769230769230769;org.junit.runner.Description;100;0;
MATH;0;1;13.0;0;14.0;0;1;0;0;0;0;0.5;0.5185185185185185;org.junit.runner.Description;100;0;
NEGATE_CONDITIONALS;0;1;45.0;0;22.0;0;1;0;0;0;0;0.3181818181818182;0.3283582089552239;org.junit.runner.Description;100;0;
RETURN_VALS;0;4;58.0;0;76.0;0;1;2;0;0;0;0.5769230769230769;0.5671641791044776;org.junit.rules.ExpectedException;100;1;
NEGATE_CONDITIONALS;0;1;46.0;0;22.0;0;0;0;0;0;0;0.3283582089552239;0.3235294117647059;org.junit.rules.ExpectedException;100;1;
CONDITIONALS_BOUNDARY;0;2;16.0;0;15.0;0;0;0;0;0;0;0.5172413793103449;0.4838709677419355;org.junit.rules.TemporaryFolder;100;2;
INCREMENTS;0;2;16.0;0;14.0;0;0;0;0;0;0;0.5;0.4666666666666667;org.junit.rules.TemporaryFolder;100;2;
RETURN_VALS;0;7;65.0;0;76.0;0;0;0;0;0;0;0.5671641791044776;0.5390070921985816;org.junit.rules.TemporaryFolder;100;7;
NEGATE_CONDITIONALS;0;3;49.0;0;22.0;0;0;0;0;0;0;0.3235294117647059;0.30985915492957744;org.junit.rules.TemporaryFolder;100;3;
RETURN_VALS;0;5;69.0;0;77.0;1;0;0;0;0;0;0.5390070921985816;0.5273972602739726;org.junit.runner.notification.Failure;100;4;
RETURN_VALS;0;2;69.0;0;79.0;0;2;0;0;0;0;0.5273972602739726;0.5337837837837838;org.junit.runner.manipulation.Filter;100;0;
RETURN_VALS;0;2;71.0;0;79.0;0;0;0;0;0;0;0.5337837837837838;0.5266666666666666;org.junit.runners.model.FrameworkMember;100;2;
RETURN_VALS;0;5;75.0;0;80.0;0;1;0;0;0;0;0.5266666666666666;0.5161290322580645;org.junit.runners.model.FrameworkField;100;4;
CONDITIONALS_BOUNDARY;0;1;17.0;0;15.0;0;0;0;0;0;0;0.4838709677419355;0.46875;org.junit.runners.model.FrameworkMethod;100;1;
RETURN_VALS;0;9;84.0;0;80.0;0;0;0;0;0;0;0.5161290322580645;0.4878048780487805;org.junit.runners.model.FrameworkMethod;100;9;
NEGATE_CONDITIONALS;0;4;52.0;0;23.0;0;1;0;0;0;0;0.30985915492957744;0.30666666666666664;org.junit.runners.model.FrameworkMethod;100;3;
RETURN_VALS;0;4;88.0;0;80.0;0;0;0;0;0;0;0.4878048780487805;0.47619047619047616;org.junit.runner.JUnitCore;100;4;
RETURN_VALS;0;5;88.0;0;85.0;0;5;0;0;0;0;0.47619047619047616;0.4913294797687861;org.junit.matchers.JUnitMatchers;100;0;
RETURN_VALS;0;9;93.0;0;89.0;0;4;0;0;0;0;0.4913294797687861;0.489010989010989;org.junit.experimental.max.MaxCore;100;5;
NEGATE_CONDITIONALS;0;2;54.0;0;23.0;0;0;0;0;0;0;0.30666666666666664;0.2987012987012987;org.junit.experimental.max.MaxCore;100;2;
RETURN_VALS;0;3;96.0;0;89.0;0;0;0;0;0;0;0.489010989010989;0.4810810810810811;org.junit.experimental.max.MaxHistory;100;3;
NEGATE_CONDITIONALS;0;1;55.0;0;23.0;0;0;0;0;0;0;0.2987012987012987;0.2948717948717949;org.junit.experimental.max.MaxHistory;100;1;
CONDITIONALS_BOUNDARY;0;1;18.0;0;15.0;0;0;0;0;0;0;0.46875;0.45454545454545453;org.junit.experimental.theories.ParameterSignature;100;1;
INCREMENTS;0;2;18.0;0;14.0;0;0;0;0;0;0;0.4666666666666667;0.4375;org.junit.experimental.theories.ParameterSignature;100;2;
RETURN_VALS;0;5;100.0;0;90.0;0;1;0;0;0;0;0.4810810810810811;0.47368421052631576;org.junit.experimental.theories.ParameterSignature;100;4;
MATH;0;1;14.0;0;14.0;0;0;0;0;0;0;0.5185185185185185;0.5;org.junit.experimental.theories.ParameterSignature;100;1;
NEGATE_CONDITIONALS;0;4;58.0;0;24.0;1;0;0;0;0;0;0.2948717948717949;0.2926829268292683;org.junit.experimental.theories.ParameterSignature;100;3;
CONDITIONALS_BOUNDARY;0;1;19.0;0;15.0;0;0;0;0;0;0;0.45454545454545453;0.4411764705882353;org.junit.experimental.theories.suppliers.TestedOnSupplier;100;1;
INCREMENTS;0;1;19.0;0;14.0;0;0;0;0;0;0;0.4375;0.42424242424242425;org.junit.experimental.theories.suppliers.TestedOnSupplier;100;1;
RETURN_VALS;0;1;101.0;0;90.0;0;0;0;0;0;0;0.47368421052631576;0.4712041884816754;org.junit.experimental.theories.PotentialAssignment;100;1;
RETURN_VALS;0;2;103.0;0;90.0;0;0;0;0;0;0;0.4712041884816754;0.46632124352331605;org.junit.experimental.results.PrintableResult;100;2;
RETURN_VALS;0;2;105.0;0;90.0;0;0;0;0;0;0;0.46632124352331605;0.46153846153846156;org.hamcrest.internal.ReflectiveTypeFinder;100;2;
NEGATE_CONDITIONALS;0;2;60.0;0;24.0;0;0;0;0;0;0;0.2926829268292683;0.2857142857142857;org.hamcrest.internal.ReflectiveTypeFinder;100;2;
RETURN_VALS;0;7;112.0;0;90.0;0;0;0;0;0;0;0.46153846153846156;0.44554455445544555;org.junit.runner.Request;100;7;
